key,value
main_tab_title,Home
select_source_btn,Select Source Area (OCR)
select_target_btn,Select Target Area (Translation)
start_btn,Start
stop_btn,Stop
hide_source_btn,Hide/Show Source Window
hide_target_btn,Hide/Show Target Window
clear_cache_btn,Clear Translation Cache
clear_debug_log_btn,Clear Debug Log
toggle_debug_log_disable_btn,Disable Debug Log
toggle_debug_log_enable_btn,Enable Debug Log
gui_language_label,GUI Language
keyboard_shortcuts_title,Keyboard Shortcuts
status_ready,Status: Ready
status_ready_hotkey,Status: Ready (Press ~ to Start/Stop)
shortcut_start_stop,Start/Stop Translation
shortcut_toggle_source,Toggle Source Window Visibility
shortcut_toggle_target,Toggle Translation Window Visibility
shortcut_save_settings,Save Settings
shortcut_clear_cache,Clear Cache
shortcut_clear_log,Clear Debug Log
status_running,Running (Press ~ to Stop)
status_provider_transient,Translation service temporarily unavailable
status_stopped,Stopped (Press ~ to Start)
status_paddleocr_loading,Status: Local OCR loading… waited {seconds}s
status_paddleocr_loading_cancelled,Status: Local OCR loading cancelled
status_paddleocr_loading_failed,Status: Local OCR loading failed
settings_tab_title,Settings
translation_model_label,Translation Model:
ocr_model_label,OCR Model:
ocr_model_paddleocr,PaddleOCR (offline)
ocr_model_rapidocr,RapidOCR PP-OCRv6 tiny (ONNX)
source_lang_label,Source Language:
target_lang_label,Target Language:
custom_context_window_label,Custom AI context subtitles:
custom_ai_log_content_label,Custom AI short-log content:
custom_ai_log_content_checkbox,Store OCR/translation text in short logs
custom_ai_log_content_warning,Warning: enabling stores OCR/translation text on disk.
ai_optimization_mode_label,AI optimization:
ai_optimization_mode_auto,Automatic (recommended)
ai_optimization_mode_stream,Streaming
ai_optimization_mode_speed,Speed and fewer tokens
ai_optimization_mode_quality,Quality first
custom_ai_submit_interval_label,AI translation minimum interval (ms):
ai_profile_structured_output_label,Structured output
ai_profile_reasoning_effort_label,Reasoning effort
custom_ai_reasoning_effort_low,Low
custom_ai_reasoning_effort_none,None
custom_ai_reasoning_effort_medium,Medium
custom_ai_reasoning_effort_high,High
custom_ai_reasoning_effort_ultra,Ultra
scan_interval_label,Scan Interval (ms):
clear_timeout_label,Clear Translation Timeout (s):
stability_threshold_label,Text Stability Threshold:
paddleocr_min_score_label,PaddleOCR minimum score:
ocr_debugging_label,OCR Debugging:
show_debug_checkbox,Show debug images/text
preview_btn,Preview
source_color_label,Source Area Colour:
target_color_label,Target Area Colour:
target_text_color_label,Target Text Colour:
target_text_outline_color_label,Outline Colour:
target_text_outline_width_label,Outline Width:
translation_line_layout_label,Translation subtitle layout:
translation_line_layout_compact,Prefer one line
translation_line_layout_preserve,Match source subtitle lines
translation_horizontal_centered,Center translated subtitle horizontally
font_size_label,Target Window Font Size:
font_type_label,Target Window Font Type:
font_bold_label,Bold translated subtitle text
opacity_label,Opacity:
opacity_background_label,Background:
opacity_text_label,Text:
file_cache_frame_title,Translation Cache
file_cache_description,Clear cached translations for the active Custom AI configuration.
clear_caches_btn,Clear Translation Cache
save_settings_btn,Save Settings Now
choose_color_btn,Choose Colour
debug_tab_title,Debugging
original_image_label,Original Image
processed_image_label,Processed Image
ocr_results_label,OCR Results
ocr_results_placeholder,OCR results will appear here when translation is running and local OCR debugging is enabled.
app_log_label,Application Log
save_debug_images_btn,Save OCR Images
refresh_log_btn,Refresh Log
settings_saved,Status: Settings Saved
no_image_captured,No image captured yet
no_image_processed,No image processed yet
choose_source_color_title,Choose Source Colour
choose_target_color_title,Choose Target Colour
choose_target_text_color_title,Choose Target Text Colour
choose_target_text_outline_color_title,Choose Target Text Outline Colour
dialog_area_selected_title,Area Selected
dialog_source_area_set_message,Source area set to:
dialog_target_area_set_message,Target display area set to:
dialog_debug_images_saved_title,OCR Images Saved
dialog_debug_images_saved_message,Images saved to '{0}'.
dialog_debug_image_saved_title,OCR Image Saved
dialog_debug_image_saved_message,Original image saved to '{0}'. No processed image.
ocr_preview_title,OCR Preview
processed_image_preview,Processed Image (1:1 scale)
recognized_text_preview,Recognized Text
refresh_preview,Refresh Preview
close_btn,Close
no_text_recognized,No text recognized
no_image_for_ocr,No image available for OCR
custom_prompt_tab_title,Custom Prompt
custom_prompt_info,"This text will be added at the beginning of the custom AI translation instruction. It will be used for EVERY API call. Make it as short as possible to save costs. Use English for best results."
custom_prompt_saved,Custom prompt saved successfully!
custom_prompt_save_error,Failed to save custom prompt.
save_btn,Save
reload_btn,Reload
custom_ai_no_profiles,Add an AI model profile
ai_model_profiles_title,AI Model Profiles
ai_profile_name_label,name
ai_profile_url_label,api url
ai_profile_key_label,api key
ai_profile_model_label,model
fetch_model_list_btn,Fetch Models
add_btn,Add
delete_btn,Delete
test_btn,Test
profile_error_title,Profile Error
delete_profile_title,Delete Profile
delete_profile_confirm,Delete profile '{0}'?
connection_test_title,Connection Test
connection_test_success,"Response: {0}
Duration: {1:.2f}s"
connection_test_failed_title,Connection Test Failed
model_list_title,Model List
model_list_success,Fetched {0} models.
model_list_failed_title,Model List Failed
start_error_title,Start Error
start_error_no_translation_profile,Add and select an AI model profile before starting.
start_error_no_ocr_profile,"Add and select an AI model profile for OCR before starting, or choose PaddleOCR."
ocr_preview_local_only,OCR preview is available for PaddleOCR.
